,Athlete,WC Series Wins,WC Series Top 5,WChampGold,WChampSilver,WChampBronze,WChampTotal,WCup 1st,WCup 2nd,WCup 3rd,WCup Total,WCup competed,WCup Win %,WCup Podium %
1,Kilian FISCHHUBER (AUT),5,11,0,2,0,2,21,11,15,47,82,25,57
2,Jérôme MEYER (FRA),4,7,0,1,0,1,11,5,9,25,49,22,51
3,Tomoa NARASAKI (JPN),2,7,2,1,0,3,7,15,4,26,57,12,45
4,Christian CORE (ITA),2,4,1,0,1,2,3,6,4,13,59,5,22
5,Jongwon CHON (KOR),2,4,0,1,0,1,5,2,4,11,52,9,21
6,Sorato ANRAKU (JPN),2,2,0,0,0,0,5,3,1,9,15,33,60
7,Yoshiyuki OGATA (JPN),2,3,0,0,0,0,3,3,5,11,51,5,21
8,Dmitrii SHARAFUTDINOV (RUS),1,7,3,0,0,3,12,9,2,23,63,19,36
9,Adam ONDRA (CZE),1,4,1,2,0,3,6,6,3,15,25,24,60
10,Rustam GELMANOV (RUS),1,7,0,1,2,3,6,5,6,17,70,8,24
11,Jan HOJER (GER),1,2,0,0,1,1,6,4,2,12,57,10,21
12,Daniel DU LAC (FRA),1,6,0,0,0,0,3,8,3,14,38,7,36
13,Pedro PONS (ESP),1,1,0,0,0,0,3,1,1,5,10,30,50
14,Jernej KRUDER (SLO),1,1,0,1,0,1,2,3,1,6,86,2,6
15,Malcolm SMITH (GBR),1,1,0,0,0,0,1,0,1,2,5,20,40
16,Kokoro FUJII (JPN),0,5,1,0,0,1,5,1,3,9,55,9,16
17,Salavat RAKHMETOV (RUS),0,2,1,0,0,1,4,4,1,9,33,12,27
18,Aleksei RUBTSOV (RUS),0,4,1,0,0,1,3,1,10,14,52,5,26
19,Mauro CALIBANI (ITA),0,1,1,0,0,1,1,1,1,3,13,7,23
20,Kai HARADA (JPN),0,0,1,0,0,1,0,1,0,1,20,0,5
21,Mickael MAWEM (FRA),0,0,1,0,0,1,0,0,0,0,0,0,0
22,Mejdi SCHALCK (FRA),0,3,0,1,0,1,4,2,2,8,18,22,44
23,Daniel ANDRADA JIMENEZ (ESP),0,3,0,0,0,0,3,2,1,6,17,17,35
24,Jakob SCHUBERT (AUT),0,2,0,1,0,1,3,2,6,11,56,5,19
25,Dohyun LEE (KOR),0,1,0,0,1,1,3,3,1,7,17,17,41
26,David LAMA (AUT),0,1,0,0,0,0,3,0,2,5,12,25,41
27,Guillaume GLAIRON MONDET (FRA),0,3,0,0,0,0,2,5,1,8,64,3,12
28,Stephane JULIEN (FRA),0,3,0,0,0,0,2,0,1,3,41,4,7
29,Sean MCCOLL (CAN),0,2,0,0,0,0,2,6,6,14,72,2,19
30,Tomasz OLEKSY (POL),0,2,0,0,1,1,2,1,2,5,41,4,12
31,Rei SUGIMOTO (JPN),0,1,0,0,0,0,2,1,2,5,51,3,9
32,Gérome POUVREAU (FRA),0,1,0,0,1,1,2,0,0,2,25,8,8
33,Gabriele MORONI (ITA),0,2,0,0,0,0,1,4,0,5,58,1,8
34,Serik KAZBEKOV (UKR),0,2,0,0,0,0,1,2,2,5,29,3,17
35,Tsukuru HORI (JPN),0,2,0,0,0,0,1,2,2,5,64,1,7
36,Toby ROBERTS (GBR),0,2,0,0,0,0,1,0,2,3,12,8,25
37,Sohta AMAGASA (JPN),0,1,0,0,0,0,1,1,1,3,13,7,23
38,Sean BAILEY (USA),0,1,0,0,0,0,1,1,0,2,27,3,7
39,Gregor VEZONIK (SLO),0,1,0,0,1,1,1,0,2,3,41,2,7
40,Yannick FLOHÉ (GER),0,1,0,0,1,1,1,0,0,1,25,4,4
41,Jonas BAUMANN (GER),0,1,0,0,0,0,1,0,2,3,57,1,5
42,Keita WATABE (JPN),0,1,0,0,0,0,1,0,2,3,29,3,10
43,Alban LEVIER (FRA),0,1,0,0,0,0,1,0,1,2,31,3,6
44,Ludovic LAURENCE (FRA),0,1,0,0,0,0,1,0,1,2,37,2,5
45,Daniel WOODS (USA),0,0,0,0,0,0,1,2,1,4,15,6,26
46,Manuel CORNU (FRA),0,0,0,0,2,2,1,1,0,2,41,2,4
47,Tomás MRÁZEK (CZE),0,0,0,0,0,0,1,0,2,3,13,7,23
48,Stéphan JULIEN (FRA),0,0,0,0,0,0,1,0,2,3,34,2,8
49,Andrew EARL (GBR),0,0,0,0,0,0,1,0,1,2,25,4,8
50,Mykhaylo SHALAGIN (UKR),0,0,0,0,0,0,1,0,1,2,39,2,5
51,Colin DUFFY (USA),0,0,0,0,0,0,1,0,0,1,22,4,4
52,Mark CROXALL (GBR),0,0,0,0,0,0,1,0,0,1,29,3,3
53,Alex KHAZANOV (ISR),0,0,0,0,0,0,1,0,0,1,45,2,2
54,Frédéric TUSCAN (FRA),0,1,0,1,0,1,0,1,0,1,15,0,6
55,Meichi NARASAKI (JPN),0,1,0,0,0,0,0,4,1,5,29,0,17
56,Jorg VERHOEVEN (NED),0,1,0,0,0,0,0,2,5,7,51,0,13
57,Chris SHARMA (USA),0,1,0,0,0,0,0,2,2,4,5,0,80
58,Nathaniel COLEMAN (USA),0,1,0,0,0,0,0,2,0,2,22,0,9
59,Akito MATSUSHIMA (JPN),0,1,0,0,0,0,0,1,2,3,14,0,21
60,Loïc GAIDIOZ (FRA),0,1,0,0,0,0,0,1,1,2,54,0,3
61,François PETIT (FRA),0,1,0,0,0,0,0,1,0,1,8,0,12
62,Remi SAMYN (FRA),0,1,0,0,0,0,0,1,0,1,14,0,7
63,Martin STRANIK (CZE),0,0,0,1,0,1,0,2,0,2,44,0,4
64,Cédric LACHAT (SUI),0,0,0,0,1,1,0,2,0,2,20,0,10
65,Maximillian MILNE (GBR),0,0,0,0,0,0,0,2,0,2,19,0,10
66,Matthias MÜLLER (SUI),0,0,0,0,0,0,0,2,0,2,44,0,4
67,Klemen BECAN (SLO),0,0,0,0,0,0,0,2,0,2,41,0,4
68,Hannes VAN DUYSEN (BEL),0,0,0,0,0,0,0,1,1,2,14,0,14
69,Anze PEHARC (SLO),0,0,0,0,0,0,0,1,1,2,38,0,5
70,Thomas TAUPORN (GER),0,0,0,0,0,0,0,1,1,2,10,0,20
71,Michael PICCOLRUAZ (ITA),0,0,0,0,0,0,0,1,0,1,48,0,2
72,Sangwon SON (KOR),0,0,0,0,0,0,0,1,0,1,13,0,7
73,Damien JEANDENAND (FRA),0,0,0,0,0,0,0,1,0,1,11,0,9
74,Tatsuya MURAOKA (JPN),0,0,0,0,0,0,0,1,0,1,2,0,50
75,David BARRANS (GBR),0,0,0,0,1,1,0,0,0,0,0,0,0
76,Stanislav KLESHNOV (UKR),0,0,0,0,0,0,0,0,1,1,12,0,8
77,Evgeny OVCHINNIKOV (RUS),0,0,0,0,0,0,0,0,1,1,4,0,25
78,Samuel RICHARD (FRA),0,0,0,0,0,0,0,0,1,1,4,0,25
79,Sam AVEZOU (FRA),0,0,0,0,0,0,0,0,1,1,17,0,5
80,Paul JENFT (FRA),0,0,0,0,0,0,0,0,1,1,13,0,7
81,Tomoaki TAKATA (JPN),0,0,0,0,0,0,0,0,1,1,33,0,3
82,Rei KAWAMATA (JPN),0,0,0,0,0,0,0,0,1,1,8,0,12
83,Taisei ISHIMATSU (JPN),0,0,0,0,0,0,0,0,1,1,16,0,6
84,Gareth PARRY (GBR),0,0,0,0,0,0,0,0,1,1,43,0,2
85,Nalle HUKKATAIVAL (FIN),0,0,0,0,0,0,0,0,1,1,14,0,7
86,Hiroshi OKANO (JPN),0,0,0,0,0,0,0,0,1,1,11,0,9
87,Francois KAISER (FRA),0,0,0,0,0,0,0,0,1,1,17,0,5
88,Lukas ENNEMOSER (AUT),0,0,0,0,0,0,0,0,1,1,40,0,2
89,Jeremy BONDER (FRA),0,0,0,0,0,0,0,0,1,1,37,0,2
90,Paul ROBINSON (USA),0,0,0,0,0,0,0,0,1,1,4,0,25
91,Keita MOGAKI (JPN),0,0,0,0,0,0,0,0,1,1,22,0,4
92,Julien MERAL (FRA),0,0,0,0,0,0,0,0,1,1,35,0,2
93,Timmy FAIRFIELD (CAN),0,0,0,0,0,0,0,0,1,1,11,0,9
94,Alexandre CHABOT (FRA),0,0,0,0,0,0,0,0,1,1,12,0,8
95,Victor KOZLOV (RUS),0,0,0,0,0,0,0,0,1,1,4,0,25
