theEventType,theDiscipline,theEventName
World Cup,Boulder-Lead,WC Morioka 2022
World Cup,Boulder,WC Keqiao 2025
World Cup,Speed,WC Seoul 2024
World Cup,Lead,WC Seoul 2024
World Championship,Boulder-Lead,Wchamp 2023
World Championship,Speed,Wchamp 2023
World Championship,Lead,Wchamp 2023
World Championship,Boulder,Wchamp 2023
World Championship,Combined,Wchamp 2021
European Championship,Boulder-Lead,EuroChamp Villars 2024
European Championship,Boulder,EuroChamp Villars 2024
European Championship,Speed,EuroChamp Villars 2024
European Championship,Lead,EuroChamp Villars 2024
European Championship,Combined,EuroChamp Moscow 2020
Olympics,Boulder-Lead,Olympics 2024
Olympics,Speed,Olympics 2024
Oceania Championship,Boulder-Lead,Oceania Olympic Qualifier 2023
Oceania Championship,Speed,Oceania Olympic Qualifier 2023
Pan Am Championship,Boulder-Lead,Pan American Olympic Qualifier 2023
Pan Am Championship,Speed,Pan American Olympic Qualifier 2023
Asian Championship,Boulder-Lead,Asian Olympic Qualifier 2023
Asian Championship,Speed,Asian Olympic Qualifier 2023
African Championship,Boulder-Lead,African Olympic Qualifier 2023
African Championship,Speed,African Olympic Qualifier 2023
