,Event,NumAthletes,Boulder,Boulder-Lead,Combined,Lead,Speed
0,WChamp 1991 All,110,0,0,0,102,31
1,WChamp 1993 All,127,0,0,0,112,30
2,WChamp 1995 All,135,0,0,0,126,33
3,WChamp 1997 All,153,0,0,0,131,66
4,WChamp 1999 All,180,0,0,0,154,66
5,WChamp 2001 All,198,85,0,0,123,32
6,WChamp 2003 All,241,115,0,0,141,33
7,WChamp 2005 All,318,191,0,0,184,68
8,WChamp 2007 All,302,208,0,0,183,109
9,WChamp 2009 All,217,119,0,0,128,59
10,WChamp 2011 All,372,207,0,0,202,128
11,WChamp 2012 All,332,179,0,31,167,102
12,WChamp 2014 Boulder,192,192,0,0,0,0
13,WChamp 2014 Lead Speed Combined,175,0,0,14,123,73
14,WChamp 2016 All,391,210,0,28,179,101
15,WChamp 2018 All,365,261,0,154,225,218
16,WChamp 2019 All,235,193,0,156,191,182
17,Wchamp 2021,289,178,0,26,167,87
18,Wchamp 2023,396,239,201,0,225,135
