,Athlete,NumWChampGold,NumWChampSilver,NumWChampBronze,Total
1,Janja GARNBRET (SLO),3,0,0,3
2,Anna STÖHR (AUT),2,0,2,4
3,Sandrine LEVET (FRA),1,1,0,2
4,Olga SHALAGINA (UKR),1,1,0,2
5,Yulia ABRAMCHUK (RUS),1,1,0,2
6,Juliane WURM (GER),1,0,1,2
7,Natalia GROSSMAN (USA),1,0,0,1
8,Petra KLINGLER (SUI),1,0,0,1
9,Myriam MOTTEAU (FRA),1,0,0,1
10,Mélanie SANDOZ (FRA),1,0,0,1
11,Akiyo NOGUCHI (JPN),0,3,2,5
12,Nataliya PERLOVA (UKR),0,1,1,2
13,Miho NONAKA (JPN),0,1,0,1
14,Camilla MORONI (ITA),0,1,0,1
15,Oriane BERTONE (FRA),0,1,0,1
16,Olga IAKOVLEVA (RUS),0,1,0,1
17,Alex PUCCIO (USA),0,1,0,1
18,Sasha DIGIULIAN (USA),0,1,0,1
19,Stasa GEJO (SRB),0,0,2,2
20,Brooke RABOUTOU (USA),0,0,1,1
21,Olga BIBIK (RUS),0,0,1,1
22,Vera KOTASOVA-KOSTRUHOVA (CZE),0,0,1,1
23,Fanny ROGEAUX (FRA),0,0,1,1
24,Shauna COXSEY (GBR),0,0,1,1
