,e.EventTypeName,Year,NumEvents,NumCountries
0,World Cup,1989,7,19
1,World Cup,1990,6,8
2,World Cup,1991,6,32
3,World Cup,1992,6,32
4,World Cup,1993,6,28
5,World Cup,1994,4,32
6,World Cup,1995,4,29
7,World Cup,1996,3,28
8,World Cup,1997,5,31
9,World Cup,1998,4,27
10,World Cup,1999,11,33
11,World Cup,2000,11,31
12,World Cup,2001,9,36
13,World Cup,2002,11,40
14,World Cup,2003,16,39
15,World Cup,2004,16,37
16,World Cup,2005,14,41
17,World Cup,2006,18,47
18,World Cup,2007,18,42
19,World Cup,2008,15,39
20,World Cup,2009,14,45
21,World Cup,2010,15,45
22,World Cup,2011,19,54
23,World Cup,2012,17,45
24,World Cup,2013,19,47
25,World Cup,2014,16,44
26,World Cup,2015,13,50
27,World Cup,2016,16,56
28,World Cup,2017,15,54
29,World Cup,2018,14,53
30,World Cup,2019,12,54
31,World Cup,2020,1,11
32,World Cup,2021,8,44
33,World Cup,2022,13,53
34,World Cup,2023,12,65
35,World Cup,2024,9,62
36,World Cup,2025,14,50
