Gender,Female,Female,Female,Male,Male,Male
Position,1,2,3,1,2,3
Year,,,,,,
2024,['Lijuan DENG'],['Natalia KALUCKA'],['Jimin JEONG'],['Samuel WATSON'],['Matteo ZURLONI'],['Xinshang WANG']
2023,['Natalia KALUCKA'],['Aleksandra MIROSLAW'],['Lijuan DENG'],['Veddriq LEONARDO'],['Peng WU'],['Samuel WATSON']
2022,['Aleksandra KALUCKA'],['Emma HUNT'],['Natalia KALUCKA'],['Veddriq LEONARDO'],['Kiromal KATIBIN'],['Jinbao LONG']
2021,['Emma HUNT'],['Patrycja CHUDZIAK'],"['Ekaterina BARASHCHUK', 'Aleksandra MIROSLAW']",['Veddriq LEONARDO'],['Kiromal KATIBIN'],['Marcin DZIENSKI']
2019,['Yiling SONG'],['Anouck JAUBERT'],['Aries SUSANTI RAHAYU'],['Bassa MAWEM'],['Vladislav DEULIN'],['Alfian MUHAMMAD FAJRI']
2018,['Anouck JAUBERT'],['Aries SUSANTI RAHAYU'],['Iuliia KAPLINA'],['Bassa MAWEM'],['Danyil BOLDYREV'],['Dmitrii TIMOFEEV']
2017,['Anouck JAUBERT'],['Iuliia KAPLINA'],['Mariia KRASAVINA'],['Vladislav DEULIN'],['Reza ALIPOUR SHENAZANDIFARD'],['Ludovico FOSSALI']
2016,['Iuliia KAPLINA'],['Anouck JAUBERT'],['Klaudia BUCZEK'],['Marcin DZIENSKI'],['Stanislav KOKORIN'],['Danyil BOLDYREV']
2015,['Mariia KRASAVINA'],['Anouck JAUBERT'],['Iuliia KAPLINA'],['Qixin ZHONG'],['Libor HROZA'],['Danyil BOLDYREV']
2014,['Mariia KRASAVINA'],['Iuliia KAPLINA'],['Anouck JAUBERT'],['Danyil BOLDYREV'],['Libor HROZA'],['Marcin DZIENSKI']
2013,['Alina GAIDAMAKINA'],['Iuliia KAPLINA'],['Aleksandra MIROSLAW'],['Stanislav KOKORIN'],['Libor HROZA'],['Qixin ZHONG']
2012,['Alina GAIDAMAKINA'],['Yuliya LEVOCHKINA'],['Mariia KRASAVINA'],['Stanislav KOKORIN'],['Danyil BOLDYREV'],['Yaroslav GONTARYK']
2011,['Edyta ROPEK'],['Mariia KRASAVINA'],['Alina GAIDAMAKINA'],['Lukasz SWIRK'],['Sergei SINITCYN'],['Sergey ABDRAKHMANOV']
2010,['Yuliya LEVOCHKINA'],['Kseniia ALEKSEEVA'],['Edyta ROPEK'],['Stanislav KOKORIN'],['Evgenii VAITSEKHOVSKII'],['Libor HROZA']
2009,['Edyta ROPEK'],['Anna STENKOVAYA'],['Valentina YURINA'],['Sergei SINITCYN'],['Sergey ABDRAKHMANOV'],['Evgenii VAITSEKHOVSKII']
2008,['Edyta ROPEK'],['Olena RYEPKO'],['Svitlana TUZHYLINA'],['Evgenii VAITSEKHOVSKII'],['Sergei SINITCYN'],['Qixin ZHONG']
2007,['Tatiana RUYGA'],['Svitlana TUZHYLINA'],['Anna STENKOVAYA'],['Sergei SINITCYN'],['Evgenii VAITSEKHOVSKII'],['Alexander KOSTERIN']
2006,['Tatiana RUYGA'],['Valentina YURINA'],['Anna STENKOVAYA'],['Evgenii VAITSEKHOVSKII'],['Sergei SINITCYN'],['Alexander PESHEKHONOV']
2005,['Anna STENKOVAYA'],['Valentina YURINA'],['Olga EVSTIGNEEVA'],['Evgenii VAITSEKHOVSKII'],['Sergei SINITCYN'],['Tomasz OLEKSY']
2004,['Tatiana RUYGA'],['Anna STENKOVAYA'],['Agung ethi HENDRAWATI'],['Sergei SINITCYN'],['Evgenii VAITSEKHOVSKII'],['Alexander PESHEKHONOV']
2003,['Valentina YURINA'],['Anna STENKOVAYA'],['Olena RYEPKO'],['Tomasz OLEKSY'],['Alexander PESHEKHONOV'],['Iakov SOUBBOTINE']
2002,['Olena RYEPKO'],['Mayya PIRATINSKAYA'],['Valentina YURINA'],['Alexander PESHEKHONOV'],['Maksym STYENKOVYY'],['Sergei SINITCYN']
2001,['Olga ZAKHAROVA'],['Agung ethi HENDRAWATI'],['Zosia PODGORBOUNSKIKH'],['Maksym STYENKOVYY'],['Alexandre CHAOULSKY'],['Alexander PESHEKHONOV']
2000,['Olena RYEPKO'],['Olga ZAKHAROVA'],['Zosia PODGORBOUNSKIKH'],['Andrey VEDENMEER'],['Iakov SOUBBOTINE'],['Vladimir ZAKHAROV']
1999,['Olga ZAKHAROVA'],['Olena OSTAPENKO'],['Zosia PODGORBOUNSKIKH'],['Tomasz OLEKSY'],['Vladislav BARANOV'],['Vladimir ZAKHAROV']
1998,['Olga ZAKHAROVA'],['Olena OSTAPENKO'],['Nataliya PERLOVA'],['Andrey VEDENMEER'],['Vladimir NETSVETAEV-DOLGALEV'],['Alexei KOZLOV']
1993,['Renata PISZCZEK'],['Elena OVTCHINNIKOVA'],['Olga BIBIK'],['Vladimir NETSVETAEV-DOLGALEV'],['Yevgen KRYVOSHEYTSEV'],['Kairat RAKHMETOV']
